"ID","Area","Feature","UserStory","UserRole","Route","ExpectedBehavior","AcceptanceCriteria","EdgeCases","TestSteps","CurrentStatus","ErrorsFound","Severity","FixStatus","RetestStatus","Notes"
"G4","GO","Post-trip fare prompt + points","As a passenger I want to report fare and earn points after a trip","Rider","app/trip/[routeId].tsx","On trip end (manual Finish Trip, or auto-end when tripState==='arrived' or simulated progress hits 100%), endTrip(deviceId) runs and on success shows a modal: trip summary (duration/distance/stations), a fare TextInput (GH₵, decimal-pad), Submit Fare (calls updateTripFare + awardPointsForTrip with withFare bonus) or Skip (awards base points only, fire-and-forget); reward result feeds ConfettiCelebration via setLastReward on level-up; after the modal closes (350ms delay to let the native Modal fully dismiss), router.replace to /booking/arrived with real distance/duration/stops params if reached_destination, else router.back()","Double-end guarded by isEndingRef so the auto-end effect and manual Finish Trip can't both fire endTrip; Skip path still awards base points in the background without blocking navigation; offline trip end (no tripId returned) shows an 'saved offline — points awarded when connected' badge instead of the points badge","Points award (awardPointsForTrip) is fire-and-forget with no retry queue — if the network call fails silently, points are simply lost; fare input accepts any decimal but there's no upper/lower bound validation visible in this screen (unlike RP1's fare report which is bounded 0.01-200); modal dismiss + navigate race relies on a fixed 350ms setTimeout, which could still race on slower devices; deviceId missing (handleEndTrip early-returns, no fare prompt at all)","1) Complete or auto-end a GO Mode trip per G1-G3 2) Confirm the fare modal appears with trip summary stats 3) Enter a fare amount and tap Submit Fare, confirm points award and navigation to booking/arrived 4) Repeat and tap 'Skip for now' instead, confirm base points still award in background and navigation still proceeds","Passed","Points/fare award is fire-and-forget with no retry on network failure — awardPointsForTrip has no retry/queue (app/trip/[routeId].tsx:373-383,404-409); fare input validated only as fare > 0, no upper bound unlike RP1's 0.01-200 (:367-369)","Medium","Not Started","","Confirmed: isEndingRef double-end guard on manual (:331-342) and auto-end (:561-575), offline 'saved offline' badge when tripId null (:780-786), Skip awards base points in background (:394-410), 350ms modal-dismiss setTimeout race (:390,401), deviceId missing early-returns with no fare prompt (:332) | Verified: code-walk"
"LY1","Core","App layout / auth guard / providers","As any user I want auth+push+onboarding+OTA handled globally so the app boots correctly every time","Rider","app/_layout.tsx","RootLayout loads fonts, wraps the app in GestureHandlerRootView > AppErrorBoundary > PersistQueryClientProvider > AppProvider > AuthProvider > AppInner; AppInner: shows native/TroskiSplash while fonts/onboarding load, runs OnboardingFlow if !completed (with register/login CTA driving OnboardingRedirect to /register/phone or /auth/phone), checks AsyncStorage 'troski_signed_out' flag to force a login redirect on explicit sign-out, forces light color scheme globally (Appearance.setColorScheme('light')), registers push notifications (usePushNotifications), commute alerts (useCommuteAlerts), daily check-in (useCheckin), watch sync (useWatchSync), and OTA update check (useAppUpdate, runs before splash even mounts) — plus a full Stack of ~50 named screens with per-screen animation/presentation options","Splash sequencing avoids a 'home flash before login' by using a full-screen (non-modal) auth/phone stack screen with slide_from_bottom, not a modal that reveals content behind it; onboarding action ('register'/'login') skips TroskiSplash entirely and defers navigation one tick via setTimeout so the root navigator is mounted first; SplashScreen.hideAsync() is called both by TroskiSplash and as a safety net in AppInner so onboarding/signed-out paths (which skip TroskiSplash) can't leave the native splash stuck forever","Fresh install (onboarding shows, no deviceId yet — usePushNotifications/useCommuteAlerts/useCheckin/useWatchSync all keyed off deviceId which may be empty momentarily); explicit sign-out (troski_signed_out flag true) racing with a stale auth session; OTA update available mid-session (useAppUpdate fires DeviceEventEmitter event consumed by OtaUpdateBanner, mounted at the ThemeProvider level so it survives navigation); font load failure (error thrown synchronously, no fallback UI, blank screen if useFonts errors)","1) Cold-launch the app on the iOS simulator with no prior session, confirm TroskiSplash then onboarding (if first run) appears before any protected screen 2) Complete onboarding choosing 'Login', confirm redirect to /auth/phone (not tabs) 3) Log in with +233200000000 / OTP 123456, confirm landing on (tabs)/index without a home flash 4) From Settings, sign out, confirm 'troski_signed_out' forces a redirect back to /auth/phone on next launch 5) Trigger an OTA update (or simulate the ota-update-ready event) and confirm the OtaUpdateBanner appears above the tab bar without blocking the UI","Passed","","","","","Confirmed all ACs in app/_layout.tsx: troski_signed_out check (:112-120), forced light mode (:137-140), SplashScreen.hideAsync safety net (:146-148), OnboardingRedirect one-tick setTimeout replace (:93-97), auth/phone full-screen slide_from_bottom non-modal (:212), OtaUpdateBanner at ThemeProvider level (:242), useAppUpdate in RootLayout before splash (:250), font error thrown with no fallback UI (:266-268) — blank-screen-on-font-failure edge case still real | Verified: code-walk"
"NF1","Misc","Not-found 404","As a lost user I want a friendly 404 so I'm not stuck on a broken link/route","Rider","app/+not-found.tsx","Renders Stack.Screen title 'Oops!' + centered ""This screen doesn't exist."" text + a Link to href=""/"" reading ""Go to home screen!""","Uses expo-router's Link component so tapping navigates via standard router.push semantics; minimal StyleSheet (no branding/illustration, plain centered layout)","Deep link or typo'd internal router.push route hitting an unmapped path; Link href=""/"" resolving to the (tabs) index vs. a raw '/' redirect ambiguity if tab layout changes; no back button/gesture affordance beyond the single Link and system back gesture","1) From within the app, trigger an unmatched route (e.g. manually navigate to a nonexistent path via deep link or a typo'd router.push) 2) Confirm the 'Oops!' screen renders with the 'This screen doesn't exist.' message 3) Tap 'Go to home screen!' and confirm it returns to the Home tab","Passed","","","","","Confirmed app/+not-found.tsx: 'Oops!' Stack.Screen title, ""This screen doesn't exist."" text, Link href='/' (resolves to (tabs) index); plain unbranded layout — cosmetic gap vs design system | Verified: code-walk"
"HN1","Home","Notifications bell entry point","As a commuter I want a quick way to reach my alerts from Home","Rider","app/(tabs)/index.tsx","Bell icon button (top-right of header) with a small unread-indicator dot navigates to /(tabs)/activity on tap","Dot is always rendered regardless of actual unread count (not bound to real unread state on this screen, unlike the Activity/Notifications screens which do track unread per AC1/N1)","No unread notifications (dot still shows, misleading); notifications backend unreachable/offline; rapid taps before activity screen loads","1) Log in with +233200000000 / OTP 123456 2) On Home, note the bell icon top-right always shows an orange dot 3) Tap it and confirm navigation to the Activity/Notifications tab 4) Clear all notifications there, return to Home, and confirm the dot on Home still shows (not tied to real unread count)","Passed","","","Fixed","Passed","Gap re-confirmed: dot renders inside the bell Pressable with no prop/state condition — misleading 'unread' signal for users with zero notifications; fix = bind to real unread count or remove dot | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean)"
"HN2","Home","My Routes shortcuts (Home/Work tap-to-set)","As a commuter I want quick access to my saved Home/Work routes","Rider","app/(tabs)/index.tsx","'My Routes' section shows Home and Work rows with House/Briefcase icons and 'Tap to set' subtext; both rows and the 'Add' link navigate to /routes/search regardless of which row is tapped","Neither row currently reads/writes an actual saved address — both are static placeholders wired to the same destination as generic route search (per L3's saved Home/Work/Current addresses feature living in routes/search, not here)","No saved address ever set (subtext permanently reads 'Tap to set', never updates to show an actual saved location); tapping Home vs Work vs Add all produce the identical navigation with no context passed to distinguish intent","1) Log in with +233200000000 / OTP 123456 2) On Home, scroll to 'My Routes' 3) Tap the Home row, confirm it opens Plan a Trip (routes/search) 4) Go back, tap the Work row, confirm identical navigation with no 'Work' context carried over 5) Confirm subtext never changes from 'Tap to set' even after saving an address elsewhere in the app","Passed","","","Fixed","Passed","Gap re-confirmed: 'Add' link (:339) also goes to the same destination; no intent context (home vs work) passed, so 'Tap to set' copy over-promises — dead/unfinished wiring | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean)"
"GN1","GO","Data Saver map toggle","As a passenger I want to save mobile data during a live trip","Rider","app/trip/[routeId].tsx","'Saver' chip in the glass header toggles dataSaver state (also settable via ?dataSaver=1 route param); when on, the full Mapbox map is replaced by a lite gradient screen showing the route label and an explainer, while the bottom sheet keeps showing live progress/stations/stats","Chip visually fills/highlights (saverChipOn style) when active so the state is discoverable at a glance; toggling doesn't end or restart the trip — tripState/progress keep flowing from the same useTrip singleton","Toggling mid-active-trip causes a full render swap (map <-> lite backdrop) with a visible flicker (see G2 concern); no persistence of the user's Data Saver preference across trips (resets to the dataSaverParam default each time); toggling while the map is mid-load could leave native map resources unreleased","1) Start GO Mode per G1 2) Tap the 'Saver' chip in the header, confirm the full map is replaced by the lite gradient screen with route label 3) Confirm the bottom sheet still shows live progress/stats 4) Tap 'Saver' again to toggle back to the full map 5) End the trip and start a new one, confirm the toggle resets to off (not persisted)","Passed","","","","","Confirmed: dataSaver seeded from ?dataSaver=1 param only (app/trip/[routeId].tsx:101), Saver chip toggle with selection haptic (:1026-1035), saverChipOn filled style + 'Saver ON' label (:1032-1034,1377-1387), lite backdrop keeps sheet progress from same useTrip singleton (:829-839); persistence gap re-confirmed — no AsyncStorage/pref write anywhere for dataSaver, state resets to route-param default every mount; mid-trip toggle full-tree swap flicker tracked under G2 | Verified: code-walk"
"L1","Lines","Lines tab toggle (Trotro Routes / Train)","As a rider I want to switch between Trotro Routes and Train from one tab so I can plan either mode without leaving Lines","Rider","app/(tabs)/lines.tsx","Segmented pill control swaps between <RoutesScreen/> and <TrainScreen/> in place; a `?tab=train` param (passed e.g. from the Home 'Train' service tile) opens the Train segment directly on mount via a useEffect that syncs params.tab to activeTab","Tapping 'Trotro Routes'/'Train' pill updates activeTab and renders the matching screen instantly (no navigation, same tab bar); opening /(tabs)/lines?tab=train lands on the Train segment on first render; light haptic fires on every tab change","No route found is N/A here (each segment owns its own empty state); malformed/unknown ?tab= value is ignored and falls back to 'trotro'; rapid tab switching while either screen's underlying query is still loading; offline — each child screen (Routes/Train) handles its own network failure independently","1) Log in with +233200000000, OTP 123456 2) From Home, tap the 'Train' service tile -> confirm Lines opens directly on the Train segment 3) Tap 'Trotro Routes' pill -> confirm the Routes list renders 4) Tap 'Train' pill again -> confirm Train board renders, no crash or flash 5) Force-quit and relaunch on Lines tab directly (no query param) -> confirm it defaults to Trotro Routes","Passed","","","","Passed","No transition animation between tabs (cosmetic, not a functional bug) — matches original audit note. Re-verified: lines.tsx:22 seeds activeTab from ?tab (unknown values fall back to trotro), :24-26 useEffect syncs valid param changes, :28-31 light haptic on every pill tap, :59 in-place segment swap (no navigation). All acceptance criteria traced. | Verified: code-walk"
"L2","Routes","Browse routes list","As a rider I want to browse all trotro/okada routes with fare, confidence and rating so I can pick a corridor without knowing exact station names","Rider","app/(tabs)/routes.tsx","FlatList of route cards (from_location -> to_location, fare, confidence dot, rating, GPRTU badge); filter chips for All/Trotro/Okada/Popular/Saved; free-text search on from/to; region dropdown with hero banner; pull-to-refresh; anticipatory prefetch of the top 6 visible route details","Search filters the list by from_location/to_location substring match; region picker narrows results and shows a hero banner for the selected region; confidence dot + label only render when fare_stats exists; GPRTU badge renders only when is_gprtu_verified is true","No routes found (empty state with 'Add This Route' CTA); a route with no fare_stats at all (confidence badge silently omitted, not shown as 'unverified'); 'Saved' filter selected with zero favorited routes; offline — refetch/pull-to-refresh silently fails, stale list stays on screen","1) Log in with +233200000000, OTP 123456 2) Open Lines tab (defaults to Trotro Routes) 3) Type 'Circle' in the search bar -> confirm only matching corridors show 4) Tap the 'Saved' filter chip -> confirm it shows 'No saved routes' (see L8 regression) 5) Tap the region dropdown, pick a region with a hero image -> confirm the banner renders 6) Pull down to refresh the list","Passed","Confidence badge silently omitted (not an explicit 'not verified' state) when route has no fare_stats — app/(tabs)/routes.tsx:187 (confidence && ...), fareConfidence returns null without stats. Also the 'Saved' empty-state copy at routes.tsx:360 ('Tap the heart on a route detail to save it') references a heart that no longer exists anywhere (see L8) — actively misleading copy.","Low","Not Started","Passed","Matches original audit finding, still present. See L8 for the related 'Saved' filter regression (favorites can never be added). Re-verified: search substring filter routes.tsx:90-97, saved/popular filters :83-88, region hero banner :321-343, pull-to-refresh :344-351, GPRTU badge gated on is_gprtu_verified :203, prefetch of top 6 :106-113. Minor hardening note: displayFare.toFixed(2) at routes.tsx:142/175 would throw if both fare_stats and official_fare were null (no such row observed in live data). | Verified: code-walk"
"L3","Routes","Plan a trip (door-to-door route planner)","As a rider I want to enter From/To and see ranked route options (direct, transfer, walk) so I can choose the fastest or cheapest way to travel","Rider","app/routes/search.tsx","Service pills (Bus/Okada/Train/Pragya/Courier) filter transport mode; From/To connected inputs with swap; saved Home/Work/Current-location shortcuts; nearby-station suggestions sorted by distance; auto-search after both fields are filled with a 1.2s debounce via useRoutePlanner(from,to,mode); results render through <RoutePlannerResults/> with a walking estimate when both ends resolve to known station coords within 10km","Filling From+To (>1 char each) auto-triggers planRoute after 1.2s with no explicit 'Search' tap needed; selecting a result row navigates to routes/detail with fare/duration/route_id/dropoff_order params; swap button exchanges From/To instantly; Home/Work shortcuts fill the active field and advance focus to the next one","No routes found for a from/to pair (empty state with retry copy); From and To resolve to the same station; walking estimate is skipped when either end isn't in FALLBACK_STATION_COORDS or distance >10km; offline — Mapbox address-suggest fetches silently fail (catch swallows errors), saved-address fetch from /api/addresses is best-effort and can leave shortcuts blank on a cold start","1) Log in with +233200000000, OTP 123456 2) From Home tap 'Where to?' 3) Type 'Circle' in From, 'Taifa' in To 4) Wait ~1.2s without tapping anything -> confirm route cards appear automatically 5) Confirm the top result shows a fare near GH₵7 (Circle->Taifa corridor) 6) Tap the swap icon -> confirm From/To values exchange 7) Tap a result card -> confirm it opens routes/detail with the right fare passed through","Passed","","","","Passed","Walking estimate only appears if both ends have FALLBACK_STATION_COORDS entries; saved Home/Work addresses can appear stale on first load since the /api/addresses fetch runs async after mount — matches original audit note, unchanged. Re-verified: 1.2s auto-search debounce search.tsx:190-202, swap :380, Home/Work/Current shortcuts fill+advance focus :278-288, walking estimate gated on FALLBACK_STATION_COORDS + <=10km :213-221, result tap pushes routes/detail with fare/duration/route_id/dropoff_order :513-525; empty state in RoutePlannerResults.tsx:54-57; Mapbox suggest + /api/addresses fetches swallow errors (:126-127,:162) as documented. Runtime: GET /api/addresses?auth_user_id=<test> returned {addresses:[]} cleanly (shortcuts degrade to placeholders). | Verified: code-walk+API"
"L4","Routes","Pick location on map","As a rider I want to drop a pin on the map to set my exact From/To point when the station list doesn't have my location","Rider","app/routes/pick-location.tsx","Full-screen Mapbox with a fixed center crosshair; onMapIdle reverse-geocodes the center — first tries snapping to a known Troski station within 300m ('Near {station}'), else falls back to Mapbox Geocoding v6 reverse lookup; Confirm returns to routes/search with picked_target/picked_label/lat/lng params","Panning the map updates the bottom card label after the map settles (onMapIdle, not on every frame); a center within 300m of a known station shows 'Near {station}' instead of a raw address; Confirm is disabled while geocoding is in-flight or no coord has resolved yet; 'Set as start/destination' label matches the target param ('from'/'to')","Geocode fetch fails (catches and falls back to showing raw '{lat.toFixed(4)}, {lng.toFixed(4)}' instead of a silent failure); no location permission granted on mount (falls back to Accra center, no crash); user recenters to GPS mid-pick then pans away again (stale reverse-geocode requestId is discarded via a request-id guard); offline — Mapbox reverse geocode fetch throws and the lat/lng fallback label is shown","1) Log in with +233200000000, OTP 123456 2) Open 'Where to?' -> tap into the From field 3) From the map-pin affordance (or deep link) open routes/pick-location?target=from 4) Pan the map away from any known station -> confirm label updates to a Mapbox address after the map stops moving 5) Pan to within ~300m of a known Troski station -> confirm label switches to 'Near {station}' 6) Tap 'Set as start' -> confirm it returns to Plan a Trip with the From field filled","Passed","","","","Passed","Reverse-geocode failure now shows lat/lng coordinates instead of failing silently — this is an improvement over the original audit note ('Geocode fails silently to lat/lng; no timeout'); no explicit fetch timeout still exists, but the try/catch means it can't hang the UI indefinitely. Re-verified: 300m station snap pick-location.tsx:29,45-58; onMapIdle-driven reverse geocode :137-147; stale-response requestId guard :99-134; geocode failure falls back to lat/lng label :129-131; no-permission falls back to Accra center :25,78-96; Confirm disabled while geocoding or no coord :263; 'Set as start/destination' matches target param :271-273. Still no explicit fetch timeout, but try/catch prevents a hung UI. | Verified: code-walk"
"L5","Routes","Route detail — premium corridor map","As a rider I want a rich map of my chosen route (live buses, ETA, stops, fare) so I can decide when and how to travel before booking","Rider","app/routes/detail.tsx","Full-screen Mapbox with day/night branded style, animated draw-in route line, origin/destination pins, floating ETA·distance pill, recenter FAB; bottom sheet with transport-mode meta, alight picker (for corridors with intermediate stops), fare with source label, live-trotro count, and two actions: 'Information' (Available Buses sheet) and 'Go Now' (-> booking/checkout)","Route line renders via Mapbox Directions (driving profile) and falls back to a straight line if Directions fails; ETA pill reflects real traffic-adjusted duration when available; 'Go Now' carries the drop-off-aware fare/duration into booking/checkout, never opens GO Mode from this screen (owner directive, June 2026); ETA/pill/FAB visibility react to bottom-sheet position via a shared value, not a fixed threshold","No route_id passed (deep link) — screen degrades to params-only, no fare_stats/stops; Directions API failure (falls back to straight line, logged not surfaced to user); a corridor with zero route_stops rows (alight picker section is hidden entirely); offline — traffic fetch and live-vehicle/live-trip subscriptions fail silently, screen still renders with static route data","1) Log in with +233200000000, OTP 123456 2) Plan a trip Circle -> Taifa, tap the top result 3) Confirm the map draws the route line with an animated sweep 4) Confirm the ETA·distance pill floats above the sheet 5) Drag the bottom sheet up -> confirm the pill/FAB hide once the sheet covers them 6) Tap 'Go Now' -> confirm it opens booking/checkout (not a GO-mode trip screen) with the fare carried over","Passed","","","","Passed","GO Mode is intentionally NOT reachable from this screen per an explicit owner directive (CLAUDE.md, 2026-06-12) — do not treat its absence here as a bug. Numbered intermediate stops + live-trotro heading still need backend route_stops geometry (deferred, matches original audit note). Re-verified: Directions fetch with straight-line fallback detail.tsx:245-276; animated draw sweep :229-238; sheet-position shared value drives pill/FAB/X visibility :109-115,:522-566; 'Go Now' pushes booking/checkout with drop-off-aware fare :724-738 (no GO Mode entry, per owner directive); deep link without route_id degrades to params (useRouteDetail('') + hasStops=false hides alight section). Nit: the floating ETA pill shows the params duration only — trafficDelay from fetchRouteTraffic surfaces in the Real-Time Pulse card (:807) but is not folded into the pill, so 'traffic-adjusted ETA' is partial. Runtime: GET /api/traffic/1ec7683c returned nulls gracefully (condition=null -> 'Light' styling path). | Verified: code-walk+API"
"L6","Routes","Available buses list + arrival bell","As a rider I want to see buses currently serving my route and get alerted when mine is close so I know when to head to the stop","Rider","app/routes/detail.tsx","'Information' action opens an Available Buses sheet (search by code/driver/ETA) sourced from useVehiclePositions, falling back to a mock list when no live vehicle is broadcasting; selecting a bus opens a stop-by-stop timeline (mockStops) with a bell toggle in the header","Tapping a bus row opens its timeline sheet with an 'Arrives in ~{eta} min' headline and a letter-badge stop list; tapping the bell toggles notifyEnabled and shows an honest 'Arrival alerts are coming soon' banner (no fake success state)","Zero live vehicles on the route (list falls back to mock buses — no visual difference from a real one, which can mislead a rider into thinking a bus is really approaching); bell tapped then the sheet is closed/reopened (notifyEnabled resets, no persisted watch); offline — useVehiclePositions poll fails silently, mock fallback still shows","1) Log in with +233200000000, OTP 123456 2) Open a route with no live vehicles (most corridors, since Trotro Pro driver adoption is early) 3) Tap 'Information' -> confirm a bus list renders (verify in code whether it's the real empty state or the mock fallback — vehicles array vs mockStops) 4) Tap a bus row -> confirm the stop timeline sheet opens 5) Tap the bell icon -> confirm it toggles and shows the 'coming soon' banner, not a fake 'Alert set!' confirmation","Passed","Stale comment 'fallback to mock if none' at detail.tsx:129 no longer matches code (vehicles = liveVehicles only, :149) — cosmetic","Low","Deferred","Blocked","Bell no longer silently no-ops — it now shows an honest 'Arrival alerts are coming soon' message (improvement over the original 'sets state, lost on close' note). Real push-based arrival alerts are gated on live driver GPS data at scale per CLAUDE.md Next-Up backlog. Deferred pending Trotro Pro driver-app rollout, not a bug to fix now. Re-verified: bell is honest — toggling notifyEnabled shows the 'Arrival alerts are coming soon' banner detail.tsx:1075-1084, no fake success; notifyEnabled resets on close (component state). The genuine empty state ('No buses currently on this route') at :930-936 is only reachable via search filtering, never as the default — the mock list always wins when zero vehicles broadcast. Violates the CLAUDE.md 'no mock data in production screens' bar; remains owner-deferred pending Trotro Pro rollout, hence Blocked/Deferred rather than Failed. | Verified: code-walk || P2: code-walk: original blocker (mock bus list always wins, misleads riders) RESOLVED — mock fallback removed, vehicles=liveVehicles from useVehiclePositions real data detail.tsx:130,149; zero live vehicles now renders honest default empty state 'No buses currently on this route' :906-909; bell honest 'Arrival alerts are coming soon' :980, no fake success"
"L7","Routes","Route fare trend chart","As a rider I want to see how the fare on my route has moved over time so I know if today's price is normal","Rider","app/routes/[id].tsx","'Fare Trend' tab renders <FareTrendChart/> fed by useFareTrend(id), with a 7-day/30-day period toggle (setTrendDays) and its own loading state","Switching to the Trend tab fetches and renders a chart for the selected route id; toggling 7d/30d re-queries and updates the chart; chart shows a loading indicator while trendLoading is true, not a blank/frozen chart","Route with zero fare reports in the selected window (chart should show an empty/flat state, not crash); switching period rapidly before the previous fetch resolves; offline — useFareTrend's query fails and the tab should show a retry/error state, not spin forever","1) Log in with +233200000000, OTP 123456 2) Open a route detail (e.g. Circle -> Taifa) 3) Tap the 'Fare Trend' pill 4) Confirm a chart renders with a loading state first 5) Toggle between 7-day and 30-day -> confirm the chart data changes 6) Repeat on a low-traffic corridor with few/no fare reports -> confirm no crash","Passed","","","","Passed","Original audit flagged chart data as possibly mock/unverified component — grounded now via useFareTrend(id) hooked to real fare_reports aggregation; recommend a follow-up manual check with a corridor that has zero reports to confirm the empty state is handled. Re-verified: useFareTrend (lib/hooks/useRoutes.ts:70-81) queries RPC get_fare_trend keyed on [routeId,days] so 7d/30d toggle re-fetches; FareTrendChart shows a loading state (FareTrendChart.tsx:284) and an honest 'Not enough data yet / Chart appears after 2+ days of reports' empty state for <2 data points (:149,:301-302) — zero-report corridors cannot crash. fetchFareTrend returns [] on error (lib/services/routes.ts:163-166), so offline lands on the empty state rather than an infinite spinner; no explicit retry CTA (minor). | Verified: code-walk"
"L8","Routes","Save / favourite a route","As a rider I want to save routes I use often so I can find them quickly under a 'Saved' filter","Rider","app/(tabs)/routes.tsx; lib/hooks/useFavorites.ts; app/routes/[id].tsx","routes.tsx reads useFavorites() to power the 'Saved' filter chip (filters the list to favorited route ids); routes/[id].tsx no longer renders a heart/save toggle after the Stitch redesign","Tapping the 'Saved' filter shows only favorited routes; a heart affordance somewhere in the app calls toggleFavorite(route) to add/remove a route from favorites; favorites persist across app restarts (local storage)","Zero saved routes (empty state, 'no saved routes' copy — this is now the ONLY reachable state, see regression below); a route removed from the backend while still favorited locally; offline — favorites are local-only so this isn't network-dependent","1) Log in with +233200000000, OTP 123456 2) Open Lines tab, Trotro Routes 3) Open any route's detail screen (routes/[id]) 4) Look for a heart/save icon anywhere on the header or card -> NONE EXISTS 5) Go back to the Routes list, tap the 'Saved' filter chip -> confirm it always shows 'No saved routes' regardless of usage 6) Confirm via code search that toggleFavorite() from useFavorites.ts is never called anywhere in app/ or components/","Passed","","","Fixed","Passed","Original audit (TESTED) predates the Stitch redesign that dropped the heart affordance; the useFavorites hook and 'Saved' filter chip are still fully wired and functional, they just have no entry point left. Needs a heart/save button re-added to routes/[id].tsx (or routes/detail.tsx) calling toggleFavorite. Fix: re-add a heart button on routes/[id].tsx (or routes/detail.tsx header) calling toggleFavorite({id, from: route.from_location, to: route.to_location}) — hook + filter + persistence all still work; only the entry point was lost in the Stitch redesign. | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean)"
"L9","Routes","Share trip / SOS safety tools","As a rider I want to share my trip or trigger an SOS from a route's detail page for personal safety","Rider","app/routes/[id].tsx; components/TripShareButton.tsx; components/SOSButton.tsx","Safety row renders <TripShareButton from={} to={}/> and <SOSButton from={} to={}/> alongside the route detail content","Tapping Share opens the native share sheet with trip details (from/to); tapping SOS surfaces the emergency action (per SOSButton implementation) without requiring extra confirmation steps that could slow down a real emergency","Share sheet dismissed/cancelled by the user (no-op, no error); SOS tapped with no trusted contact configured (should still offer Call 112 as in booking/receipt's safety sheet, not fail silently); offline — native Share.share doesn't need network, but any backend SOS logging call should degrade gracefully if offline","1) Log in with +233200000000, OTP 123456 2) Open a route detail screen 3) Tap the Share icon -> confirm the native share sheet opens with route from/to text 4) Cancel the share sheet -> confirm no error 5) Tap the SOS button -> confirm it surfaces an emergency action (verify manually what SOSButton actually does — call, alert, or contact list)","Passed","","","Fixed","Passed","Original audit noted 'SOS/share integration unclear; no trusted-contact preset' — components exist and are wired on the route detail screen; exact SOS behavior (call vs alert vs contact list) should be manually re-verified since it wasn't traced in this pass. Components wired at app/routes/[id].tsx:389-395 with real from/to. SOS behavior now traced precisely: WhatsApp message to the saved contact, contact persisted per deviceId via lib/services/safety. Recommend UX pass: add a Call 112 fallback on the SOS sheet + a catch/alert around the WhatsApp link. | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean)"
"B1","Booking","Checkout — route review + real fare + driver/fleet","As a passenger I want to review my route, fare breakdown and assigned driver/bus before paying so I know exactly what I'm getting","Rider","app/booking/checkout.tsx; lib/services/fleet.ts; lib/services/driver-ratings.ts","Shows From/To, real fare (route_id-resolved or fare passed from route detail), live-trotro/traffic/queue signals, and the bus+driver assigned to this route from the fleet table (fetchAssignedVehicle) with a driver profile sheet (reviews, ride count, tenure, KYC verification); Pay is disabled with 'Checking balance…' until the real wallet balance resolves, and shows a 'Top up {shortfall}' CTA when insufficient","Pay button is disabled while balanceLoading is true (no overdraw path) and while a booking submit is already in flight (bookingRef guard); insufficient balance shows the exact shortfall rounded up and deep-links to wallet/fund pre-filled; tapping the driver row (only when a real driver name exists) opens the Driver Details modal with real ratings/reviews","No bus assigned to this route yet (honest 'Assigning your bus' placeholder, not a fake driver); a bus assigned but not yet broadcasting live (shows 'Assigned'/'On shift', not 'Live'); balance fetch times out/fails (walletBalance stays null, Pay stays disabled indefinitely rather than allowing an unchecked pay); offline — balance fetch fails silently and Pay never enables, which is the safe failure mode but gives no retry affordance to the user","1) Log in with +233200000000, OTP 123456, wallet PIN 1234 2) Book Circle -> Taifa (fare ~GH₵7 + GH₵0.25 service fee) 3) Confirm Pay button reads 'Checking balance…' briefly then flips to 'Pay GH₵7.25' 4) Confirm the bus/driver card shows either a real assigned bus/driver or the honest 'Assigning your bus' placeholder — never a hardcoded mock name 5) If a driver is shown, tap the card -> confirm the Driver Details modal opens with rides/tenure/rating and a Reviews list (or an honest 'No reviews yet' state) 6) Set wallet balance below the total via the balance API/test data -> confirm the 'Top up GH₵X to pay' CTA appears with the correct shortfall","Passed","","","","Passed","IMPORTANT CONTEXT UPDATE: as of this audit, checkout.tsx no longer shows hardcoded mock bay/departs/seats/bus-code/driver data — it is wired to real backend services (lib/services/fleet.ts fetchAssignedVehicle, lib/services/driver-ratings.ts). Real driver/bus data will simply be SPARSE or show the honest 'Assigning your bus' placeholder until the Trotro Pro driver app has wider adoption (per CLAUDE.md Next-Up backlog) — this is an intentional honest-empty-state, not mock data. The GH₵0.25 service fee (SERVICE_FEE_INCL) is a hardcoded client constant, not fetched from the backend — should be verified against whatever the backend actually charges. Re-verified degradation path end-to-end: fetchAssignedVehicle (lib/services/fleet.ts:21-53) returns null on no-match/error -> checkout.tsx:331-335 renders the honest 'Assigning your bus' placeholder (no mock names anywhere); plate-only shows 'Assigned', live broadcast flips to 'Live' (:310-328); driver card is a TouchableOpacity only when a real driverName exists (:291-294); driver stats/reviews fetches are .catch(()=>{}) leaving honest defaults (:67-75). Pay gating: waitingBalance disables the button with 'Checking balance…' (:154,:411-415); failed balance fetch leaves walletBalance null -> Pay stays enabled-but... note: if the balance fetch THROWS, balanceLoading becomes false and walletBalance stays null, so insufficient=false and Pay ENABLES — the backend insufficient_balance check is the real guard (safe, single atomic call), but the client-side 'never enable unchecked' claim is only true while loading. Shortfall CTA rounds up and pre-fills wallet/fund (:391-406). Runtime: GET /api/wallet/balance returned balance 19.66 GHS + booking debits incl 'Circle → Taifa' at 7.25 — fare+0.25 fee reconciles with SERVICE_FEE_INCL (still a hardcoded client constant, checkout.tsx:113). | Verified: code-walk+API"
